Modèle,Accuracy,Precision,Recall,F1-score
DT baseline - Exp A,0.9988355334116008,0.9985309338586358,0.9973986993496748,0.997964495461826
DT optimisé - Exp A,0.9992268705437677,0.999198717948718,0.9980990495247624,0.9986485810100606
DT baseline - Exp B1,0.8275348624115912,0.6964909966361058,0.7043188260797065,0.7003830401114298
DT optimisé - Exp B1,0.8359724727734349,0.6840349666436623,0.7933299983324996,0.7346396751131082
