Modèle,Accuracy,Precision,Recall,F1-score
RF baseline - Exp A,0.9988355334116008,0.9988640539908457,0.9970651992662998,0.9979638160090794
RF optimisé - Exp A,0.9988355334116008,0.9988640539908457,0.9970651992662998,0.9979638160090794
RF baseline - Exp B1,0.8444100831352785,0.748944840634551,0.6864765716191429,0.7163514242461153
RF optimisé - Exp B1,0.8474262424953947,0.7595861455165764,0.6831082207770552,0.719320117293814
