Algorithme,F1-score (Exp A),F1-score (Exp B1),Écart F1 (A - B1)
Random Forest,0.9979638160090794,0.719320117293814,0.2786436987152654
Decision Tree,0.9986485810100606,0.7346396751131082,0.26400890589695236
SVM,0.9004813233001152,0.7128733959283647,0.18760792737175047
KNN,0.8865037194473964,0.7122290941219271,0.17427462532546922
Logistic Regression,0.7475996124144816,0.730190718186863,0.0174088942276186
