Modèle,Accuracy,Precision,Recall,F1-score
KNN baseline - Exp A,0.9333772394506008,0.9211672952290286,0.8390195097548775,0.8781764870148003
KNN optimisé - Exp A,0.938836869684735,0.9452691218130311,0.8346173086543272,0.8865037194473964
KNN baseline - Exp B1,0.8352566121658124,0.7248948428828956,0.6839419709854927,0.7038231862173108
KNN optimisé - Exp B1,0.8414511926237723,0.7410772225827384,0.6855427713856929,0.7122290941219271
