Modèle,Accuracy,Precision,Recall,F1-score
SVM baseline - Exp A,0.9356966278192977,0.905809244518922,0.865299316324829,0.885090995923519
SVM optimisé - Exp A,0.9439528868272103,0.9154691753678624,0.8859763214940803,0.9004813233001152
SVM baseline - Exp B1,0.8455936393398811,0.761951737744726,0.6697348674337169,0.7128733959283647
SVM optimisé - Exp B1,0.8455936393398811,0.761951737744726,0.6697348674337169,0.7128733959283647
