Modèle,Accuracy,Precision,Recall,F1-score
LogReg baseline - Exp A,0.8395135965791408,0.7603273115389176,0.641454060363515,0.6958503672081329
LogReg optimisé - Exp A,0.8359056591167234,0.6677594481890424,0.8491245622811405,0.7475996124144816
LogReg baseline - Exp B1,0.8238696561005641,0.735078277886497,0.6013006503251626,0.6614935886852678
LogReg optimisé - Exp B1,0.8236501255142266,0.6494947133245006,0.8337835584458896,0.730190718186863
